Filename	SPE_Filename	MeasurementTime	LiveTime(s)	DeadTime(%)	747keV_NetCounts	747keV_Error	633keV_NetCounts	633keV_Error	634keV_NetCounts	634keV_Error	747keV_CountRate	633keV_CountRate	634keV_CountRate
11.10_2_with 12.5_3_L.root	11.10_2_with 12.5_3_L.Spe	11/10/2025 16:10:41	551	2.30496	8396.44	102.37	7436.2	100.994	7373.2	100.682	15.2385	13.4958	13.3815
11.10_2_with 12.5_3_R.root	11.10_2_with 12.5_3_R.Spe	11/10/2025 16:21:04	484	2.41935	7779.84	98.0008	6972	96.9948	6934	96.7988	16.0741	14.405	14.3264
11.10_2_with Cu.root	11.10_2_with Cu.Spe	11/10/2025 09:35:28	1990	1.43635	6552.5	112.754	4723.5	108.243	4604.5	107.692	3.29271	2.37362	2.31382
11.10_3_with 12.5.root	11.10_3_with 12.5.Spe	11/10/2025 13:23:49	164	4.09357	5665.78	82.7419	5069.1	81.3566	5040.1	81.1782	34.5474	30.9091	30.7323
11.10_3_with 12.5_8_L.root	11.10_3_with 12.5_8_L.Spe	11/10/2025 15:05:36	535	2.37226	9095.84	105.462	8006.3	102.945	7973.3	102.785	17.0016	14.965	14.9034
11.10_3_with 12.5_8_R.root	11.10_3_with 12.5_8_R.Spe	11/10/2025 15:16:06	412	2.60047	7737.25	96.4508	6787.8	94.3197	6769.8	94.2242	18.7797	16.4752	16.4316
11.10_3_with 12.5_9_L.root	11.10_3_with 12.5_9_L.Spe	11/10/2025 14:45:36	490	2	7476.22	96.5701	6619.3	93.3097	6574.3	93.0683	15.2576	13.5088	13.4169
11.10_3_with 12.5_9_L_13h.root	11.10_3_with 12.5_9_L_13h.Spe	11/10/2025 17:48:38	51590	1.69588	632809	885.605	562743	867.731	560394	866.376	12.2661	10.908	10.8625
11.10_3_with 12.5_9_R.root	11.10_3_with 12.5_9_R.Spe	11/10/2025 14:54:42	492	2.18688	8314.5	100.157	7249.8	97.171	7237.8	97.1092	16.8994	14.7354	14.711
11.10_3_with Cu.root	11.10_3_with Cu.Spe	11/10/2025 10:11:37	1673	1.35613	5525.88	102.47	3867.9	96.6028	3818.9	96.3488	3.30297	2.31195	2.28267
11.10_4_with 12.5.root	11.10_4_with 12.5.Spe	11/10/2025 13:28:38	218	4.38596	7293.53	94.4906	6788.4	93.7422	6788.4	93.7422	33.4566	31.1394	31.1394
11.10_4_with 12.5_5_L.root	11.10_4_with 12.5_5_L.Spe	11/10/2025 15:49:11	504	2.13592	8095.31	100.512	7368.4	98.0796	7339.4	97.9316	16.0621	14.6198	14.5623
11.10_4_with 12.5_5_R.root	11.10_4_with 12.5_5_R.Spe	11/10/2025 15:59:59	462	2.32558	8362	100.896	7450.4	99.1343	7434.4	99.0535	18.0996	16.1264	16.0918
11.10_4_with 12.5_6_L.root	11.10_4_with 12.5_6_L.Spe	11/10/2025 15:24:19	695	2.11268	10713.9	113.93	9632.2	113.392	9585.2	113.185	15.4157	13.8593	13.7917
11.10_4_with 12.5_6_R.root	11.10_4_with 12.5_6_R.Spe	11/10/2025 15:37:41	473	2.07039	8092.84	98.5655	7201.3	96.8127	7195.3	96.7817	17.1096	15.2247	15.2121
11.10_4_with Cu.root	11.10_4_with Cu.Spe	11/10/2025 10:41:40	1801	1.31507	5895.12	104.98	4248.4	99.7176	4214.4	99.547	3.27325	2.35891	2.34003
11.11_1_with 12.5.root	11.11_1_with 12.5.Spe	11/11/2025 10:04:38	373	4.35897	10086.5	114.085	9072.3	112.195	9055.3	112.119	27.0416	24.3225	24.2769
11.11_1_with Cu.root	11.11_1_with Cu.Spe	11/11/2025 11:24:23	1765	1.28635	4510.81	98.2303	3294.9	95.5882	3244.9	95.3263	2.5557	1.8668	1.83847
11.11_2_with 12.5.root	11.11_2_with 12.5.Spe	11/11/2025 10:12:21	264	4.34783	7652.47	98.2524	6747.4	96.3981	6730.4	96.3099	28.9866	25.5583	25.4939
11.11_2_with Cu.root	11.11_2_with Cu.Spe	11/11/2025 10:18:34	1722	1.31805	4946.34	98.4868	3408	93.4987	3379	93.3435	2.87244	1.97909	1.96225
11.11_3_with 12.5.root	11.11_3_with 12.5.Spe	11/11/2025 09:52:39	292	3.94737	8572.53	103.012	7799.4	102.326	7740.4	102.037	29.358	26.7103	26.5082
11.11_3_with 12.5_9_L_1h.root	11.11_3_with 12.5_9_L_1h.Spe	11/11/2025 08:48:28	3618	1.97778	53031.4	254.901	47958.6	251.522	47775.6	251.158	14.6576	13.2556	13.205
11.11_3_with Cu.root	11.11_3_with Cu.Spe	11/11/2025 10:49:12	1914	1.1874	5291.72	101.352	3883.7	96.5106	3806.7	96.1109	2.76474	2.0291	1.98887
11.11_4_with 12.5.root	11.11_4_with 12.5.Spe	11/11/2025 09:59:24	237	3.65854	7170.25	93.4652	6327	92.4824	6307	92.3742	30.2542	26.6962	26.6118
11.11_4_with Cu.root	11.11_4_with Cu.Spe	11/11/2025 11:56:13	2255	1.18317	6371.03	109.293	4501.1	103.503	4479.1	103.397	2.82529	1.99605	1.9863
11.12_1_with 12.5.root	11.12_1_with 12.5.Spe	11/12/2025 12:04:51	515	3.55805	12012.2	124.08	10556	121.647	10559	121.659	23.3248	20.4971	20.5029
11.12_1_with Cu.root	11.12_1_with Cu.Spe	11/12/2025 14:02:40	1777	1.16796	3765.06	93.0104	2858.6	88.0193	2803.6	87.7063	2.11877	1.60867	1.57772
11.12_2_with 12.5.root	11.12_2_with 12.5.Spe	11/12/2025 12:15:07	368	3.66492	9110.09	107.191	8018.2	105.242	8013.2	105.218	24.7557	21.7886	21.775
11.12_2_with Cu.root	11.12_2_with Cu.Spe	11/12/2025 13:38:19	1369	1.15523	3186.19	82.0598	2387.5	78.667	2352.5	78.4442	2.32738	1.74397	1.71841
